firstName	lastName	bio	birth	death	image	nid
Tariq	Ali	British Pakistani Historian, Novelist, Journalist, Filmmaker, Public Intellectual, Political Campaigner and Activist	1943	NULL	tariq_ali_140x140[1].jpg	192848
Saul	Alinsky, fully Saul David Alinsky	American Radical Activist, Community Organizer and Writer	1909	1972	AlinskySaulRulesRadicalsCover[1].jpg	192849
Al-Jāḥiẓ, full name Abū ʿUthman ʿAmr ibn Baḥr al-Kinānī al-Baṣrī 	NULL	Islamic Philosopher and Writer of Mu'tazili Theology, and Politico-Religious Polemics	c. 778	869	arton2340-abcac[1].jpg	192850
Alice	Allen, fully Alice Olive Allen Brant	Founder of Sorority Kappa Alpha Theta	NULL	NULL	5-1-05_Young3inposition_B[1].jpg	192851
Joseph Dana	Allen	Headmaster Poly Prep	1870	1965	large_photo65455_523662[1].jpg	192853
Woody	Allen, formally Heywood "Woody" Allen, born Allan Stewart Konigsberg	American Comedian, Actor, Director, Writer and Playwright	1935	NULL	1(25)(1)[1].jpg	192854
Isabelle	Allende Llona	Chilean Writer with American Citizenship	1942	NULL	240px-Isabel_Allende_-_001[1].jpg	192855
Bob	Allisat	NULL	NULL	NULL	Louis%20Nizer_64x64[1].png	192856
Gordon Willard	Allport	American Contemporary Author, Psychologist	1960	1967	gordon-allport-2-sized[1].jpg	192857
John	Allston	NULL	NULL	NULL	mind-control[1].jpg	192858
Alphonsus 	Liguori, fully Saint Alphonsus Maria de Liguori 	Italian Catholic Bishop, Spiritual Writer, Theologian, Founder of Redemptorists, called "Doctor of the Church"	1696	1787	Sant%27Alfonso_Liguori[1].jpg	192859
Al-Qushayri, fully Abd al-Karīm ibn Hawāzin Qushayri	NULL	Persian Leader, Writer and Philosopher	NULL	1074	ibn-arabi-5[1].jpg	192860
Al-Shafi’I, fully Abū ʿAbdullāh Muhammad ibn Idrīs al-Shafiʿī	NULL	Muslim Jurist and Founder of Sufi School of Law	767	820	ahmad_alawi[1].jpg	192861
Ahmad Faris	al-Shidyaq, known also as Fares Chidiac, Faris Al Chidiac	Lebanese Writer	1804	1887	42ed376381d19_shedjaqcover_kopf[1].gif	192862
Aisha	al-Taimuriya	Egyptian Feminist Poet	1840	1902	muslim-seig-heil1[1].jpg	192863
Eric	Alterman	American Author, Media Critic, Educator, Blogger, Historian and Journalist	1960	NULL	3383Eric_Alterman[1].jpg	192864
Walter C.	Alvarez, fully Walter Clement Alvarez	American Physician, Researcher for the Mayo Clinic, Founder of Electrogastrography	1884	1978	356fba07-1236-4727-a7de-1b7ceaac63a7-3[1].jpg	192865
Motto at	Amazon	American multinational electronic commerce company and world's large online retailer with headquarters in Seattle, Washington.  Founded by Jeff Bezos in 1994	1994	NULL	amazon-logo[1].jpeg	192866
Ambrose, aka Saint Ambrose, fully Aurelius Ambrosius	NULL	Italian Archbishop of Milan	c. 337	397	saint-ambrose-of-milan-00[1].jpg	192867
Daniel	Amen	American Physician, Child and Adult Psychiatrist and Author, Founder of Amen Clinic	1950	NULL	Dr_Daniel_Amen[1].jpg	192868
American Federation of Labor	NULL	One of the first federations of labor unions in the United States. Founded in 1886 by an alliance of craft unions disaffected from the Knights of Labor, a national labor association	1886	1955	afl-cio[1].gif	192869
Edward Scribner	Ames	American Professor of Philosophy at University of Chicago, Author and Naturalist	1870	1958	ames[1].jpg	192870
Henri Frédéric 	Amiel	Swiss, Philosopher, Poet and Critic, Christian Mystic	1821	1881	AmielHenriThm[1].jpg	192871
Anacharsis	NULL	Scythian Sage and Philosopher	fl. 600 B.C.	NULL	solon[1].jpg	192872
Ancrene  Wisse, aka Ancrene Riwle	NULL	Translated as "Guide for Anchoresses " is anonymous monastic rules written for three sisters who chose to enter the contemplative life	Early 13th Century	NULL	anchress2[1].jpg	192873
Robert	Andrews	English Dissenter, Poet and Translator	1723	1766	philospher[1].jpg	192876
Michael E.	Angier	American Author and Founder of SuccessNet.org and Success Networks International	NULL	NULL	MEA%2010-2003tight[1].jpg	192878
Annius	NULL	Roman Magistrate	1432	1502	annius_verus_louvre[1].JPG	192879
Anselm of Canterbury, aka Saint Anselm or Archbishop of Canterbury	NULL	Italian Benedictine Monk, Philosopher, Prelate, Archbishop of Canterbury	c. 1033	1109	4_21_anselm[1].jpg	192881
Silvio	Antoniano	Roman Musician, Canon Lawyer, Writer on Education, Priest and Cardinal in the Roman Catholic Church	1540	1603	03-03-2[1].jpg	192884
Michelangelo	Antonioni,  Cavaliere di Gran Croce	Italian Modernist Film Director, Screenwriter, Editor and Short Story Writer	1912	2007	michelangelo-antonioni-profile-picture[1].jpg	192885
Chairil	Anwar	Indonesian Poet	1922	1949	med_2604100811_chairil-oke[1].jpg	192888
Guillaume	Apollinaire, fully Wilhelm Albert Wodzimierz Apolinary Kostrowicki	French Poet, Playwright and Art Critic	1880	1918	apollinaire-sm[1].jpg	192889
Apollonius of Tyana	NULL	Greek Philosopher,Orator and Philosopher around the time of Christ. Compared to Jesus of Nazareth by Christians in the 4th century and by various popular writers in modern times 	c. 15	c. 100	aot[1].jpg	192890
Aharon	Appelfeld	Israeli Writer and Novelist	1932	NULL	Aharon%20Appelfeld%20-%20Cleared%202[1][1].JPG	192891
Terri	Apter	British Psychologist and Author	1949	NULL	00287876%20-%20250x249[1].jpg	192892
Saint Thomas	Aquinas, aka Thomas of Aquin or Aquino, Doctor Angelicus, Doctor Communis or Doctor Universalis	Italian Dominican Priest of the Roman Church, Philosopher and Theologian in the tradition of scholasticism	c. 1225	1274	St.-Thomas-Aquinas[1].jpg	192893
Jacobo	Arbenz	Guatemalan Politician	1913	1971	NULL	192894
Alain	Arias-Misson	Belgium-born American Fiction Novelist	1938	NULL	ALAINARIASMISSON200[1].jpg	192896
Jean-Bertrand	Aristide	Haiti’s First Democratically Elected President, Catholic Priest, Politician	1953	NULL	Aristide[1].jpg	192897
Aristippus	NULL	Greek Philosopher, Founder of Cyrenaic School	c. 435 B.C.	356 B.C.	Aristippus[1].jpg	192898
Guru	Arjan	Fifth of the Ten Gurus of Sikhism	1563	1606	guru_arjan[1].jpg	192901
Michael	Arlen, Originally Dikran Kouyoumdjian	Armenian Essayist, Short-Story Writer, Novelist, Playwright, and Scriptwriter	1895	1956	30c6443a4ed10d96374743441774331414f6744[1].jpg	192902
Ayi Kwei	Armah	Ghanaian Author	1939	NULL	44164222-with-ayi[1].jpg	192903
David	Armistead	American Social-web Consultant, Founder & Managing Principal of Social Web Strategies LLC	1960	NULL	2198c21[1].jpg	192904
Louis 	Armstrong, nicknamed Satchmo or Pops 	American Jazz Trumpeter and Singer	1900	1971	Louis_Armstrong.sized[1].jpg	192905
Wally	Armstrong and Ken Blanchard	American Authors of "The Mulligan: A Parable of Second Chances"	2007	NULL	328148_w185[1].png	192906
Johann	Arndt	German Lutheran Theologian	1555	1621	220px-Johann_Arndt[1].jpg	192907
Raymond	Aron, fully Raymond-Claude-Ferdinand Aron	French Philosopher, Liberal Theorist, Sociologist, Journalist and Political Scientist, Life-long Friend of Jean-Paul Sartre	1905	1983	aron.jpg	192909
Pandit Usharbudh	Arya	Author of Philosophy of Hatha Yoga and Psychotherapy	1934	NULL	swami_veda_bharati[1].jpg	192910
Maduro	Ash	NULL	NULL	NULL	%20%20%20%20Looming_Threat-784103-thumb-500x586-35399[1].jpg	192912
Ashoka or Ashoka the Great	NULL	Indian Emperor of the Maurya Dynasty	304 B.C.	232 B.C.	g1_u31421_ashoka[1].jpg	192914
Muhammad Hussan	Askari	Pakistani-Indian Writer, Scholar, Critic and Linguist	1919	1978	muhammad-hassan-askari16092[1].jpg	192916
Roberto	Assagioli	Italian Psychiatrist, Humanist and Visionary	1888	1974	391[1].jpg	192918
Pandurang Shastri	Athavale, fully Pandurang Vaijnath Shastri Athavale	Indian Philosopher, Spiritual Leader, Social Reformer and Hinduism Reformist	1920	2003	RevPandurang[1].jpg	192920
Athenagoras	NULL	Greek Christian Theologian and Apologist, Ecumenical Patriarch	1886	1972	Athenagoras[1].jpg	192921
Gaius Glenn	Atkins	American Author, Doctor of Divinity	1868	1956	51C%2B4%2B1Bt6L._BO2,204,203,200_PIsitb-sticker-arrow-click,TopRight,35,-76_AA300_SH20_OU01_[1].jpg	192922
Jay	Atkins	NULL	NULL	NULL	titlelg[1].jpg	192923
Gil	Atkinson	American Businessman,Options Trader and Inventor	1932	2013	Atkinson20130331.tif_20130329[1].jpg	192925
Clement	Attlee, 1st Earl Attlee, fully Clement Richard Attlee	British Labour Party Leader, Politician, Prime Minister of the United Kingdom, Deputy Prime Minister under Winston Churchill	1883	1967	0111554[1].jpg	192926
Attar of Nishapur, formally Abū Hamīd bin Abū Bakr Ibrāhīm 	NULL	Persian Sufi Poet	c. 1142	c. 1220	180px-Attar_statue-1[1].jpg	192927
Claude	Aveline, pen name Evgen Avsine	Writer, Publisher, Editor, Poet and Member of the French Resistance	1901	1992	1309072724_aveline[1].jpg	192933
Obafemi	Awolowo, fully Jeremiah Obafemi Awolowo, commonly known as Awo	Nigerian Nationalist, Federalist and Social Democratic Statesman, Trade Unionist, Attorney and Author, Premier of Western Nigeria	1909	1987	awolowo_young[1].jpg	192934
A. J. 	Ayer, Alfred Jules Ayer	British Philosopher, Compiler of Quotes, Author	1910	1989	5027564062_2f57004b47[1].jpg	192935
Baal	Shem Tov, given name Yisroel ben Eliezer	Jewish Mystical Rabbi, Founder of Hasidic Judaism	1700	1760	image00120-268x300[1].jpg	192936
Sathya Sai	Baba, fully Sri Sathya Sai Baba	Indian Contemporary Yogi, Guru, Philosopher, Spiritual Figure, Mystic, Philanthropist and Educator	1926	2011	gold-shirdi-sai-baba-gold[1].jpg	192938
Maltbie 	Babcock, fully Maltbie Davenport Babcock	American Presbyterian Clergyman and Moralistic Writer	1858	1901	Rev_Maltbie_Babcock[1].jpg	192939
Babur	NULL	First Mughal Emperor of India	1483	1530	babur[1].jpg	192940
Marcus	Bach, fully James Marcus Bach	American Philosopher, Teacher, Minister, Author and Lecturer	1906	1995	bach[1].jpg	192941
Julian	Baggini	British Philosopher and Author, Co-founder and Editor-in-Chief of The Philosopher's Magazine	1968	NULL	13631[1].jpg	192944
Abdul	Baha, or ‘Abdu’l-Bahá,  born `Abbás Effendí	Founder of the Bahá'í Faith	1844	1921	Abdulbaha[1].jpg	192945
Bahai Saying	NULL	NULL	NULL	NULL	NULL	192946
Bahya ben Joseph ibn Pakuda	NULL	Judge Rabbinical Court in Muslim Spain	1040	1110	GH2H447U[1].jpg	192947
Muktabai of Maharashtra or Muktabai or Muktai	NULL	Indian Hindu Poet and first VarkariSaint	1279	1297	Muktabai[1].jpg	192948
Kurt	Baier	Austrian Moral Philosopher	1917	2010	Grunbaum2[1].JPG	192949
Temple	Bailey, born Irene Temple Bailey	American Novelist and Short-Story Writer	c. 1885	1953	9781406580129[1].jpg	192951
John	Baillie	Scottish Theologian and Church of Scotland Minister	1886	1960	john_baillie01[1].jpg	192952
James 	Baker, fully James Addison Baker, III	American Jurist, Politician and Political Adviser, Secretary of State, Chief of Staff in President Ronald Regan's first administration and in the final year of President's George H. W. Bush	1930	NULL	250px-JamesBaker[1].jpeg	192953
Mikhail 	Bakunin, fully Mikhail Alexandrovich Bakunin	Russian Revolutionary and Theorist of Collectivist Anarchism, Libertarian Socialist	1814	1876	tumblr_lts7ooPPa21qzhoqfo1_1280[1].jpg	192954
Roman	Baldorioty de Castro	Puerto Rican Politician and Abolitionist	1822	1887	baldorioty-th[1].jpg	192955
James	Baldwin, fully James Arthur Baldwin	American Writer, Novelist, Essayist, Playwright, Poet, Activist and Social Critic	1924	1987	JamesBaldwin[1].jpg	192956
Roger	Baldwin, fully Roger Nash Baldwin	American Pacifist and Author, One of the founders of the American Civil Liberties Union (ACLU), Conscientious Objector jailed rather than be drafted in WWI	1884	1981	1950s-baldwinr-16343-200[1].jpg	192957
A. J.	Balfour, fully Arthur James "A.J. Balfour, the Earl of Balfour	British Conservative Politician and Statesman, Prime Minister	1848	1930	Arthur_James_Balfour00[1].jpg	192958
Hans Urs von	Balthasar	Swiss Theologian and Priest, Roman Catholic Cardinal	1905	1988	Balthasar[1].jpg	192960
E. Digby	Baltzell, fully Edward Digby Baltzell	American Author, Sociologist, Academic, Author, Danforth Fellow, Professor, credited with popularizing the acronym WASP	1915	1996	20011214006x170[1].jpg	192961
Surendranath	Banerjee, fully Sir Surendranath Banerjee, aka Rashtraguru	Indian Political Leader, Founder of the Indian National Association, Senior Leader of the Indian National Congress, aka  Rashtraguru meaning the teacher of the nation	1848	1925	surendranath[1].jpg	192963
Ban-Tinh	NULL	Vietnamese Poet	19th Century	NULL	NETLIFE_03325343[1].jpg	192964
Jean-Baptiste de La Salle, fully Saint Jean-Baptiste de La Salle or John Baptist de La Salle 	NULL	French Priest, Educational Reformer and Founder of Institute of the Brothers of Christian Schools, Patron Saint of Teachers	1651	1719	200px-John_baptist_de_la_salle_1[1].jpg	192965
Cao	Ba-Quat	Vietnamese Poet	1809	1854	1752012282653[1].jpg	192966
Yevgeny Abromovich	Baratynsky	Russian Elegiac Poet	1800	1844	160px-Baratynsky[1].jpg	192968
José Celso	Barbosa	Puerto Rican Politician and Medical Doctor	1857	1921	barbosa[1].jpg	192969
Robert	Barclay	Scottish Quaker and Writer	1648	1690	21223[1].jpg	192970
Daniel	Barenboim	Argentine-born Pianist and Conductor	1942	NULL	barenboim[1].jpg	192971
Richard 	Barnet, fully Richard Jackson Barnet	American Economist, Scholar-Activist who Co-Founded the Institute for Policy Studies	1929	2004	RichardBarnet_(125x140)[1].jpg	192973
William	Barrett, fully William Christopher Barrett	American Philosopher and Historian, Editor of Partisan Review and Literary Critic of The Atlantic Monthly, Professor of philosophy at New York University 	1913	1992	hqdefault[1].jpg	192974
Roland	Barthes, fully Roland Gérard Barthes	French Literary Theorist, Philosopher and Critic	1915	1980	Barthes[1].jpg	192977
Madeline	Bartosch	NULL	NULL	NULL	10609244-core-incorporated-beleives-responsibility-is-an-important-trait-in-anyone[1].jpg	192978
Saint Basil, aka Basil of Caesarea, Saint Basil the Great	NULL	Greek Bishop of Caesarea Mazaca, Influential Theologian supporting the Nicene Creed, opposed Arianism	329	379	st_basil2[1].jpg	192981
Frédéric 	Bastiat, fully Claude Frédéric Bastiat 	French Political Economist, Classical Liberal Theorist	1801	1850	bastiat[1].jpg	192982
Phil	Batchelor	American Author, Lecturer and California Youth Forum, Author of "The Purpose of Life: Answer's to Life's Greatest Questions"	NULL	NULL	9780974852805[1].gif	192983
Joe D.	Batten and Leonard C. Hudson	Joe D. Batton is CEO of Consulting Firm Batten, Batten, Hudson & Swab, Inc. and Author, Leonard C. Hudson is an Author	NULL	NULL	111887_large[1].jpg	192984
Joseph A.	Bauer	NULL	NULL	NULL	Magic+Fox+-+Welcome+in+the+new+age[1].jpg	192986
Pierre	Bayle	French Philosopher, Author of the Historical and Critical Dictionary	1647	1706	Pierre_Bayle+ateismo+cristianismo+noe+molina+dios+jesus+biblis+frases+religion[1].jpg	192987
David T.	Bazelon	American Writer, Social Critic and Teacher of Political Science, Author of "The Paper Economy" and "Power in America: The Politics of the New Class"	1923	2005	51ilF7zIMgL._SL500_SS500_[1].jpg	192988
René 	Bazin, fully René François Nicolas Marie Bazin 	French Novelist and Professor of Law	1853	1932	VAA299_In16_303_p362_BAZIN_E_W_01[1].jpg	192989
Waldo	Beach, fully William Waldo Beach	American Christian Ethicist and Scholar, Professor of Religion at Duke University Divinity School	1917	2001	51uOb3LymxL._SL500_AA300_[1].jpg	192990
Pierre	Beaumarchais, fully Pierre-Augustin Caron de Beaumarchais	French Playwright, Watchmaker, Inventor, Musician, Diplomat, Fugitive, Spy, Publisher, Arms Dealer, as well as French and American Revolutionary best known for Le Barbier de Séville, Le Mariage de Figaro and La Mère coupable	1732	1799	beaumarchais-1-sized[1].jpg	192992
Simone de	Beauvoir, fully Simone-Ernestine-Lucie-Marie Bertrand de Beauvoir	French Writer, Public Intellectual, Political Activist, Feminist Theorist, Social Theorist and Existential Philosopher	1908	1986	flore4[1].jpg	192993
Carl Lotus	Becker	American Historian known for his work on early American intellectual history and the 18th-century Enlightenment	1873	1945	carlbecker[1].jpg	192994
Henry Ward	Beecher	American Clergyman, Editor, Writer	1813	1887	250px-Henry_Ward_Beecher_-_Project_Gutenberg_eText_15394[1].jpg	192995
Michael	Beer	German Jewish Poet, Author and Playwright	1800	1833	beer[1].jpg	192996
Ludwig van	Beethoven	German Composer and Pianist	1770	1827	ludwig-van-beethoven-04[1].jpg	192997
Behavior Research Project	NULL	NULL	NULL	NULL	predominant-behavior-styles[1].jpg	192998
Jacob L.	Beilhart	American Mystic, Founder of Spirit Fruit Society communitarian group	1867	1908	220px-Beilhart[1].png	192999
David	Belasco	American Theatrical Producer, Impresario, Director, Regisseur, Actor and Playwright	1853	1931	Belasco,David[1].jpg	193000
Alexander Graham	Bell	Scottish American Inventor, Engineer, Innovator	1847	1922	Alexander-Graham-Bell-9205497-2-402[1].jpg	193001
Robert	Bellah, fully Robert Neelly Bellah	American Sociologist, Professor of Sociology at University of California, Berkeley	1927	2013	Bellah_photo_01[1].jpg	193002
Robert	Bellarmine, fully Saint Robert Bellarmine	Italian Jesuit and a Cardinal of the Catholic Church	1542	1621	Robert_Bellarmine3[1].jpg	193003
John	Bellers	English Educational Theorist	1654	1725	John-Bellers[1].jpg	193004
Peter	Benchley, fully Peter Bradford Benchley	American Author best known for novels which  were adapted for cinema including "Jaws," "The Deep" and "The Island"	1940	2006	pbenchley[1].jpg	193007
Robert	Benchley, fully Robert Charles Benchley	American Humorist, Newspaper Columnist and Film Actor	1889	1945	BenchleyPhoto2[1].jpg	193008
Benedict of Nursia, aka Saint Benedict of Nursia	NULL	Italian Saint, Founder of twelve communities for Monks, honored by the Roman Catholic Church s the patron saint of Europe and students	c.480	c.533 	250px-Fra_Angelico_031[1].jpg	193009
Benjamin	Disraeli, 1st Earl of Beaconsfield	English Statesman, Novelist, Twice British Prime Minister	1804	1881	disraeli_1[1].jpg	193010
Alan	Bennett	English Playwright, Screenwriter and Poet	1934	NULL	220px-Alan_Bennett_Allan_Warren[1].jpg	193011
James O.	Bennett, fully James O'	Journalist and Author	1870	1940	NULL	193013
W. A. C.	Bennett, fully William Andrew Cecil Bennett	Canadian Premier of Province of British Columbia	1900	1979	bstamp[1].jpg	193014
Warren	Bennis, fully Warren Gamaliel Bennis	American Scholar, Organizational Consultant and Author on Leadership	1925	NULL	warren-bennis[1].jpg	193015
A.C.	Benson, fully Arthur Christopher “A.C.” Benson	English Essayist, Poet, Author and 28th Master of Magdalene College, Cambridge	1862	1925	benson_ef[1].jpg	193016
Nikolai 	Berdyaev, fully Nikolai Alexandrovich Berdyaev, also spelled Nichlas Berdiaev	Russian Theologian and Philosopher	1874	1948	berdyaev[1].jpg	193017
Bernard	Berenson	American Art Historian Specializing in the Renaissance, Major figure in pioneering art attribution and therefore establishing the market for paintings by the "Old Masters"	1865	1959	berenson3[1].jpg	193018
José 	Bergamin, fully José Bergamín Gutiérrez	Spanish Writer, Essayist, Poet and Playwright	1895	1983	jose%20bergam%C3%ADn[1].jpg	193019
Peter L.	Berger, fully Peter Ludwig Berger	Austrian-born American Sociologist, Professor at Rutgers University, Boston College and New School for Social Research	1929	NULL	peter_l_berger3[1].jpg	193020
Steven	Berglas	American Executive Coach and Management Consultant, Faculty of Harvard Medical School School of Psychiatry, Psychotherapist, Author	c. 1965	NULL	stevenberglas_136[1].jpg	193021
Joseph H.	Berke	American Family Psychotherapist	1923	NULL	md844388332[1].jpg	193022
George	Berkeley, also Bishop Berkeley, Bishop of Cloyne	Anglo-Irish Philosopher whose primary achievement was the advancement of a theory he called "Immaterialism" (later referred to as "Subjective Idealism" by others)	1685	1753	George_Berkeley_small[1].jpg	193023
Irving	Berlin, pseudonymn for Israel Baline	Russian-born American Composer and Songwriter	1888	NULL	219613[1].jpg	193024
Isaiah	Berlin, fully Sir Isaiah Berlin	British Philosopher, Intellectual Historian of Russian-Jewish Ideas, Writer, Social and Political Theorist	1909	1997	Isaiah-Berlin[1].jpg	193025
Bernard of Chartres, born Bernardus Carnotensis	NULL	French Neo-Platonist Philosopher, Scholar and Administrator	NULL	1124	bernard-of-chartres[1].jpg	193027
Claude	Bernard	French Physiologist	1813	1878	Claude_Bernard[1].jpg	193028
Philip	Berrigan	American Peace Activist, Christian Anarchist and Former Catholic Priest, on the FBI Ten Most Wanted Fugitives	1923	2002	1210-03[1].jpg	193031
Martha	Berry, fully Martha McChesney Bery	American Educator, Founder of Berry College in Rome, Georgia	1865	1942	martha%20berry%203[1].jpg	193032
Mary Frances	Berry	American Geraldine R. Segal Professor of American Social Thought and Professor of History at the University of Pennsylvania and Chairwoman of the United States Commission on Civil Rights	1938	NULL	mfb_frontest[1].jpg	193033
Thomas	Berry	American Catholic Priest of the Passionist Order, Cultural Historian and Eco-theologian, Earth Scholar, Author and Teacher	1914	2009	Thomas_Berry[1].jpg	193034
Wendell	Berry	American Man of Letters, Academic, Cultural and Economic Critic, Farmer and Author of Novels, Short Stories, Poems and Essays	1934	NULL	wendell_berry-620x412[1].jpg	193035
Peter A.	Bertocci, fully Peter Anthony Bertocci	American Philosophy Editor, Author and Teacher, Borden Parker Bowne Professor of Philosophy, Boston University	1910	1989	Bertocci%2010.02.59[1].jpg	193036
Hans Albrecht	Bethe	German-American Nuclear Physicist and Nobel Laureate in Physics 	1906	2005	hans_bethe[1].jpg	193037
Mary McLeod	Bethune, fully Mary Jane McLeod Bethune	American Educator and Civil Rights Leader 	1875	1955	mary-mcleod-bethune[1].jpg	193038
Richard K.	Betts	American Professor and Director of War and Peace Studies as well as Director of International Security Policy Program at Columbia University	1947	NULL	Richard%20K%20Betts[1].jpg	193039
William Henry	Beveridge	British Economist, Progressive and Social Reformer	1879	1963	beveridge[1].gif	193040
Shrimad Bhagavatam, or the Bhâgavata Purâna,  Śrīmad Bhāgavatam, or Bhāgavata	NULL	One of the "Maha" Puranic texts of Hindu literature, with its primary focus on bhakti (religious devotion) to the incarnations of Vishnu, particularly Krishna, the writer  is named Krishna Dvaipâyana Vyâsadeva, also called Bâdarâyana.	Between 1200 and 500 B.C.	NULL	radhakrsnalight[1].jpg	193042
Bhartrihari	NULL	Indian Hindu Poet and Philosopher	c. 5th Century	NULL	gal-004a1[1].jpg	193043
Bhoja	NULL	Indian Poet	995	1055	Raja-Bhoja-Big_3[1].jpg	193044
Benazir	Bhutto	Pakistani Politician, Prime Minister	1953	2007	8295-004-98E6BE03[1].jpg	193045
Georges	Bidault	French Statesman and Resistance Leader in World War II	1899	1983	france-BIDAULT[1].GIF	193047
Wolf	Biermann, fully Karl Wolf Biermann	German Singer-Songwriter and former East German Dissident	1936	NULL	WolfBiermannp2[1].jpg	193049
Steve	Biko, fully Stephen "Steve" Bantu Biko	South African Human Rights Anti-Apartheid Activist, Founder of the Black Consciousness Movement, Assassinated	1946	1977	steve_biko_colours_ipad_cover-p176221300761140867bhar2_400[1].jpg	193050
Paul	Billheimer	American Minister in Indiana	1897	1984	188169_124748224264710_8353745_n[1].jpg	193051
T. H.	Bindley, fully Thomas Herbert Bindley	English Archdeacon, Rector, Author and Editor	1861	1931	faith1[1].jpg	193053
Hildegard Von	Bingen, Blessed Hildegard of Bingen, Saint Hildegard	Writer, Composer, Philosopher, Christian Mystic, German Benedictine Abbess, Visionary and Polymath	1098	1179	hildegard-von-bingen[1].gif	193054
Bion 	NULL	Greek Bucolic Poet	c. 325 B.C.	c. 255 B.C.	220px-antisthenes_pushkin2[1].jpg	193055
Max	Bircher-Benner, fully Maximilian Oskar Bircher-Benner	Swiss Physician and Pioneer in Preventative Medicine and Nutritional Research	1867	1939	4bircher[1].JPG	193056
Lloyd	Jones	New Zealand Author	1955	NULL	LloydJones[1].jpg	193057
Sven	Birkerts	American Essayist and Literary Critic best known for book, "The Gutenberg Elegies"	1951	NULL	Sven-Birkerts-190[1].jpg	193058
Earle	Birney, fully Earle Alfred Birney	Canadian Poet and Novelist, Two-time winner of Governor General's Award (Canada's top literary honor)	1904	1995	birn[1].jpg	193059
Louis E.	Bisch	American Psychiatrist, Physician and Author	1885	1963	Be+Glad+Youre+Neurotic[1].jpg	193060
Bishops' Pastoral Letter "Economic Justice For All"	NULL	United States Catholic Bishops	1986	NULL	2009LentenPastoralLetter[1].jpg	193061
Julius Seelye	Bixler	American Philosopher, President of Colby College	1894	1985	bixler[1].jpg	193063
Nicholas	Black Elk, formally Heȟáka Sápa	Famous Wichasha Wakan (Medicine Man or Holy Man) of the Oglala Lakota (Sioux). He was Heyoka and a second cousin of Crazy Horse. 	1863	1950	blackelk[1].jpg	193064
John Stuart	Blackie	Scottish Author, Scholar and Man of Letters	1809	1895	220px-John_Stuart_Blackie_001[1].jpg	193066
Smiley	Blanton	American Physician, Psychiatrist, Psychoanalyst and Writer, Co-founded The American Foundation of Religion and Psychiatry as well as The Religio-Psychiatric Clinic at the Marble Collegiate Church with Norman Vincent Peale	1882	1966	sbfifties7[1].jpg	193067
Robert	Blatchford, fully Robert Peel Glanville Blatchford	English Socialist Campaigner, Journalist, Atheist, Author and Opponent of Eugenics	1851	1943	blatch[1].jpg	193068
Jerome	Blattner	NULL	NULL	NULL	trust[1].jpg	193069
William E.	Blatz, fully William Emet Blatz	Canadian Psychologist, Expert in Developmental Psychology, Author	1895	1964	w_e__blatz_-_newspaper[1].jpg	193070
Helena	Blavatsky, aka Helena Petrovna "H.P." Blavatsky or Madame Blavatsky, born Helena von Hahn	Russian Mystic, Spiritualist and a founder of the Theosophical Society	1831	1891	hpb1884newb194crop[1].jpg	193071
Alan Stuart	Blinder	American Economist, Served on President Clinton's Council of Economic Advisors and as Vice Chairman of the Board of Governors of the Federal Reserve System 	1945	NULL	Alan_Stuart_Blinder[1].jpg	193073
John	Blofeld, fully John Eaton Calthorpe Blofeld	British Writer on Asian Thought and Religion	1913	1987	jimblofeld[1].jpg	193074
Blosius, fully Abbot Louis de Blois and Franciscus Ludovicus Blosius	NULL	French Flemish Monk, Benedictine Monastic Reformer and Mystical Writer	1506	1566	450px-Liessies_%28Nord%2C_Fr%29_%C3%A9glise%2C_statue_Louis_de_Blois[1].jpg	193075
Jacob	Bobart the Younger	English Botanist and Professor	1641	1719	0[2].JPG	193077
Jean	Bodin	French Economist and Philosopher	1530	1596	jean-bodin-1-sized[1].jpg	193078
Leonardo and Clodovis	Boff	Brazilian Theologian and Writer, Leonardo born in 1938. Clodovis is a Brazilian Priest and Professor of Theology born in 1944.	1938 and 1944 respectively	NULL	pphnosboff140708[1].jpg	193081
Louise	Bogan	American Poet, Poet Laureate to the Library of Congress	1897	1970	0[3].jpg	193082
Anton Theophilus	Boisen	Pioneer in the Hospital Chaplaincy and Clinical Pastoral Education Movements	1876	1965	Yearbook.jpg	193086
Simón	Bolívar, fully Simón José Antonio de la Santísima Trinidad Bolívar y Palacios Ponte y Blanco 	Caracas-born Venezuelan Military and Political Leader	1783	1830	bolivar1fot[1].jpg	193088
Robert Oxton	Bolt	English Playwright and 2-Time Oscar Winning Screenwriter.	1924	1995	3198_Bolt-Robert-Oxton[1].jpg	193089
María-Luisa	Bombal	Chilean Author, Daughter of Martín Bombal Videla and Blanca Anthes Precht	1910	1980	mar%25C3%25ADa%252Bluisa%252Bbombal%252Bdescontexto[1].jpg	193090
Erma	Bombeck, fully Erma Louise Bombeck, born Erma Fiste	American Writer, Humorist, Newspaper Columnist, Best-selling Book Author	1927	1996	erma-bombeck-copy[1].jpg	193091
Saint Bonaventure, born John of Fidanza	Bonaventure	Italian Scholastic Theologian, Philosopher, known as “Seraphic Doctor,” Medieval Writer, Contemplative, Minister General of the Order of Friars Minor	1221	1274	StFrancis5[1].jpg	193093
